Date,Team_H,Score_H,Score_A,Team_A,Location,Season
Saturday 31 March,Adelaide Thunderbirds,57,40,New South Wales Swifts,Netball SA Stadium,2012.0
Sunday 1 April,Queensland Firebirds,42,47,Melbourne Vixens,Brisbane Convention and Exhibition Centre,2012.0
Sunday 1 April,Northern Mystics,51,47,Central Pulse,Trusts Stadium,2012.0
Monday 2 April,Southern Steel,49,47,Waikato Bay of Plenty Magic,Stadium Southland,2012.0
Monday 2 April,West Coast Fever,55,35,Canterbury Tactix,Challenge Stadium,2012.0
Saturday 7 April,Central Pulse,47,42,Southern Steel,Pettigrew Green Arena,2012.0
Sunday 8 April,Queensland Firebirds,44,54,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre,2012.0
Sunday 8 April,West Coast Fever,41,50,Melbourne Vixens,Challenge Stadium,2012.0
Sunday 8 April,Waikato Bay of Plenty Magic,41,47,Northern Mystics,Claudelands Arena,2012.0
Monday 9 April,Canterbury Tactix,54,51,New South Wales Swifts,CBS Canterbury Arena,2012.0
Sunday 15 April,Queensland Firebirds,58,32,Central Pulse,Brisbane Convention and Exhibition Centre,2012.0
Sunday 15 April,Adelaide Thunderbirds,34,48,Melbourne Vixens,Netball SA Stadium,2012.0
Sunday 15 April,Canterbury Tactix,53,55,Southern Steel,CBS Canterbury Arena,2012.0
Monday 16 April,Northern Mystics,52,45,West Coast Fever,Trusts Stadium,2012.0
Monday 16 April,New South Wales Swifts,49,47,Waikato Bay of Plenty Magic,Sydney Olympic Park Sports Centre,2012.0
Saturday 21 April,Southern Steel,53,56,West Coast Fever,Lion Foundation Arena,2012.0
Sunday 22 April,Melbourne Vixens,40,39,Waikato Bay of Plenty Magic,Hisense Arena,2012.0
Sunday 22 April,New South Wales Swifts,54,49,Queensland Firebirds,Sydney Olympic Park Sports Centre,2012.0
Sunday 22 April,Northern Mystics,48,50,Adelaide Thunderbirds,Trusts Stadium,2012.0
Monday 23 April,Central Pulse,50,45,Canterbury Tactix,Te Rauparaha Arena,2012.0
Sunday 29 April,West Coast Fever,36,48,Adelaide Thunderbirds,Challenge Stadium,2012.0
Sunday 29 April,Melbourne Vixens,52,51,Queensland Firebirds,Hisense Arena,2012.0
Sunday 29 April,Central Pulse,47,51,Northern Mystics,Arena Manawatu,2012.0
Monday 30 April,Waikato Bay of Plenty Magic,61,52,Canterbury Tactix,Energy Events Centre,2012.0
Sunday 24 March,Queensland Firebirds,68,59,Southern Steel,Brisbane Convention and Exhibition Centre,2013.0
Sunday 24 March,Adelaide Thunderbirds,49,42,Central Pulse,Netball SA Stadium,2013.0
Sunday 24 March,Canterbury Tactix,46,69,Waikato Bay of Plenty Magic,Trafalgar Centre,2013.0
Monday 25 March,Northern Mystics,46,60,Melbourne Vixens,Trusts Stadium,2013.0
Monday 25 March,New South Wales Swifts,55,41,West Coast Fever,Sydney Olympic Park Sports Centre,2013.0
Saturday 30 March,Canterbury Tactix,56,75,Southern Steel,CBS Canterbury Arena,2013.0
Sunday 31 March,Melbourne Vixens,58,44,Adelaide Thunderbirds,Hisense Arena,2013.0
Sunday 31 March,West Coast Fever,80,53,Northern Mystics,Challenge Stadium,2013.0
Sunday 31 March,Waikato Bay of Plenty Magic,61,35,New South Wales Swifts,ASB Baypark Arena,2013.0
Monday 1 April,Central Pulse,56,58,Queensland Firebirds,Te Rauparaha Arena,2013.0
Saturday 6 April,Southern Steel,54,60,Adelaide Thunderbirds,Lion Foundation Arena,2013.0
Sunday 7 April,West Coast Fever,57,51,Waikato Bay of Plenty Magic,Challenge Stadium,2013.0
Sunday 7 April,Northern Mystics,51,72,Queensland Firebirds,Trusts Stadium,2013.0
Monday 8 April,Central Pulse,55,49,New South Wales Swifts,TSB Bank Arena,2013.0
Monday 8 April,Melbourne Vixens,60,40,Canterbury Tactix,Hisense Arena,2013.0
Sunday 14 April,Adelaide Thunderbirds,72,46,West Coast Fever,Netball SA Stadium,2013.0
Sunday 14 April,Central Pulse,59,56,Southern Steel,Arena Manawatu,2013.0
Monday 15 April,Canterbury Tactix,80,78,Northern Mystics,CBS Canterbury Arena,2013.0
Monday 15 April,New South Wales Swifts,53,61,Queensland Firebirds,Sydney Olympic Park Sports Centre,2013.0
Saturday 1 March,Mainland Tactix,46,70,Waikato Bay of Plenty Magic,CBS Canterbury Arena,2014.0
Sunday 2 March,New South Wales Swifts,54,51,West Coast Fever,Sydney Olympic Park Sports Centre,2014.0
Sunday 2 March,Melbourne Vixens,58,34,Northern Mystics,Hisense Arena,2014.0
Sunday 2 March,Southern Steel,44,60,Queensland Firebirds,Stadium Southland Velodrome,2014.0
Monday 3 March,Central Pulse,44,45,Adelaide Thunderbirds,TSB Bank Arena,2014.0
Saturday 8 March,Central Pulse,67,56,Southern Steel,TSB Bank Arena,2014.0
Sunday 9 March,West Coast Fever,56,65,Melbourne Vixens,Challenge Stadium,2014.0
Sunday 9 March,Queensland Firebirds,48,55,Adelaide Thunderbirds,Brisbane Convention & Exhibition Centre,2014.0
Sunday 9 March,Mainland Tactix,57,68,New South Wales Swifts,CBS Canterbury Arena,2014.0
Monday 10 March,Northern Mystics,36,50,Waikato Bay of Plenty Magic,The Trusts Arena,2014.0
Sunday 16 March,West Coast Fever,79,43,Mainland Tactix,Challenge Stadium,2014.0
Sunday 16 March,Melbourne Vixens,47,48,Queensland Firebirds,Hisense Arena,2014.0
Sunday 16 March,Northern Mystics,47,53,Central Pulse,The Trusts Arena,2014.0
Monday 17 March,Adelaide Thunderbirds,50,49,New South Wales Swifts,Netball SA Stadium,2014.0
Monday 17 March,Waikato Bay of Plenty Magic,61,57,Southern Steel,Claudelands Arena,2014.0
Saturday 22 March,Southern Steel,66,65,West Coast Fever,Stadium Southland Velodrome,2014.0
Sunday 23 March,New South Wales Swifts,53,48,Queensland Firebirds,Sydney Olympic Park Sports Centre,2014.0
Sunday 23 March,Melbourne Vixens,44,49,Waikato Bay of Plenty Magic,Hisense Arena,2014.0
Sunday 23 March,Central Pulse,53,55,Mainland Tactix,Pettigrew Green Arena,2014.0
Monday 24 March,Northern Mystics,71,68,Adelaide Thunderbirds,The Trusts Arena,2014.0
Sunday 30 March,Adelaide Thunderbirds,59,61,Southern Steel,Netball SA Stadium,2014.0
Sunday 30 March,Queensland Firebirds,58,50,Northern Mystics,Brisbane Convention and Exhibition Centre,2014.0
Sunday 30 March,Waikato Bay of Plenty Magic,65,48,West Coast Fever,ASB Arena,2014.0
Monday 31 March,Mainland Tactix,43,67,Melbourne Vixens,CBS Canterbury Arena,2014.0
Monday 31 March,New South Wales Swifts,63,45,Central Pulse,Sydney Olympic Park Sports Centre,2014.0
Sunday 6 April,West Coast Fever,53,51,Adelaide Thunderbirds,Challenge Stadium,2014.0
Sunday 6 April,Southern Steel,61,67,Northern Mystics,Stadium Southland Velodrome,2014.0
Monday 7 April,Waikato Bay of Plenty Magic,53,56,Central Pulse,Claudelands Arena,2014.0
Monday 7 April,Queensland Firebirds,38,50,Melbourne Vixens,Brisbane Convention & Exhibition Centre,2014.0
Sat 28 February,Adelaide Thunderbirds,44,45,Waikato Bay of Plenty Magic,Netball SA Stadium,2015.0
Sun 1 March,Queensland Firebirds,50,57,West Coast Fever,Brisbane Convention and Exhibition Centre,2015.0
Sun 1 March,Melbourne Vixens,64,40,Central Pulse,Margaret Court Arena,2015.0
Sun 1 March,Southern Steel,62,68,New South Wales Swifts,Stadium Southland,2015.0
Mon 2 March,Mainland Tactix,53,59,Northern Mystics,Horncastle Arena,2015.0
Sat 7 March,Southern Steel,68,54,Mainland Tactix,Stadium Southland,2015.0
Sun 8 March,Melbourne Vixens,48,39,Adelaide Thunderbirds,Hisense Arena,2015.0
