index,Team_H,Score_H,Score_A,Team_A,Location,Season,GameIDs,Date,H_elo_Before,A_elo_Before,H_elo_After,A_elo_After,A_last_10_AVG_Against,A_last_10_AVG_Score,H_last_10_AVG_Against,H_last_10_AVG_Score,home_win
175,Giants Netball,58,53,New South Wales Swifts,Sydney Olympic Park Sports Centre,2017.0,175,2017-02-18,1500,1561.6022624093375,1507.2445816428421,1554.3576807664954,0.0,0.0,0.0,0.0,1
176,Melbourne Vixens,58,55,Collingwood Magpies,Hisense Arena,2017.0,176,2017-02-18,1540.8360726756907,1500,1544.593182574155,1496.2428901015357,0.0,0.0,0.0,0.0,1
177,Queensland Firebirds,56,56,Sunshine Coast Lightning,Brisbane Entertainment Centre,2017.0,177,2017-02-18,1555.9235668769365,1500,1551.4031389297404,1504.5204279471961,0.0,0.0,0.0,0.0,0
178,Adelaide Thunderbirds,56,51,West Coast Fever,Priceline Stadium,2017.0,178,2017-02-19,1471.2186014453675,1524.4012138740163,1478.2343045999744,1517.3855107194095,0.0,0.0,0.0,0.0,1
179,New South Wales Swifts,54,44,Adelaide Thunderbirds,Qudos Bank Arena,2017.0,179,2017-02-25,1554.3576807664954,1478.2343045999744,1560.275778381257,1472.3162069852128,51.0,56.0,58.0,53.0,1
180,Giants Netball,66,51,West Coast Fever,Qudos Bank Arena,2017.0,180,2017-02-25,1507.2445816428421,1517.3855107194095,1518.540410456463,1506.0896819057887,56.0,51.0,53.0,58.0,1
181,Queensland Firebirds,50,54,Collingwood Magpies,Brisbane Convention & Exhibition Centre,2017.0,181,2017-02-25,1551.4031389297404,1496.2428901015357,1542.5181398618938,1505.1278891693823,58.0,55.0,56.0,56.0,0
182,Sunshine Coast Lightning,58,52,Melbourne Vixens,University of the Sunshine Coast Stadium,2017.0,182,2017-02-26,1504.5204279471961,1544.593182574155,1511.845651633737,1537.2679588876142,55.0,58.0,56.0,56.0,1
183,West Coast Fever,47,60,Queensland Firebirds,Perth Arena,2017.0,183,2017-03-03,1506.0896819057887,1542.5181398618938,1493.0709747958072,1555.5368469718753,55.0,53.0,61.0,51.0,0
184,Collingwood Magpies,51,59,Giants Netball,Hisense Arena,2017.0,184,2017-03-04,1505.1278891693823,1518.540410456463,1494.7198936432324,1528.948405982613,52.0,62.0,54.0,54.5,0
185,Melbourne Vixens,59,59,New South Wales Swifts,Hisense Arena,2017.0,185,2017-03-04,1537.2679588876142,1560.275778381257,1533.7000742608313,1563.8436630080398,51.0,53.5,56.5,55.0,0
186,Adelaide Thunderbirds,42,51,Sunshine Coast Lightning,Priceline Stadium,2017.0,186,2017-03-05,1472.3162069852128,1511.845651633737,1462.0823302194453,1522.0795283995044,54.0,57.0,52.5,50.0,0
187,Queensland Firebirds,62,53,New South Wales Swifts,Brisbane Convention & Exhibition Centre,2017.0,187,2017-03-10,1555.5368469718753,1563.8436630080398,1563.6412285301658,1555.7392814497493,53.666666666666664,55.333333333333336,52.333333333333336,55.333333333333336,1
188,Melbourne Vixens,56,45,West Coast Fever,Hisense Arena,2017.0,188,2017-03-11,1533.7000742608313,1493.0709747958072,1541.1070817395932,1485.6639673170453,60.666666666666664,49.666666666666664,57.333333333333336,56.333333333333336,1
189,Sunshine Coast Lightning,54,55,Giants Netball,University of the Sunshine Coast Stadium,2017.0,189,2017-03-11,1522.0795283995044,1528.948405982613,1517.3484173462905,1533.6795170358268,51.666666666666664,61.0,50.0,55.0,0
190,Collingwood Magpies,64,45,Adelaide Thunderbirds,Hisense Arena,2017.0,190,2017-03-12,1494.7198936432324,1462.0823302194453,1505.7432083407375,1451.0590155219402,52.0,47.333333333333336,55.666666666666664,53.333333333333336,1
191,West Coast Fever,50,45,New South Wales Swifts,HBF Stadium,2017.0,191,2017-03-17,1485.6639673170453,1555.7392814497493,1493.1423642822708,1548.2608844845238,55.75,54.75,59.5,48.5,1
192,Queensland Firebirds,50,66,Melbourne Vixens,Brisbane Entertainment Centre,2017.0,192,2017-03-18,1563.6412285301658,1541.1070817395932,1545.637641106222,1559.110669163537,54.25,56.25,52.5,57.0,0
193,Sunshine Coast Lightning,51,50,Collingwood Magpies,Brisbane Entertainment Centre,2017.0,193,2017-03-18,1517.3484173462905,1505.7432083407375,1520.440366527216,1502.651259159812,53.0,56.0,51.25,54.75,1
194,Giants Netball,53,38,Adelaide Thunderbirds,AIS Arena,2017.0,194,2017-03-19,1533.6795170358268,1451.0590155219402,1541.12220540702,1443.616327150747,55.0,46.75,52.25,59.5,1
195,West Coast Fever,49,66,Sunshine Coast Lightning,HBF Stadium,2017.0,195,2017-03-24,1493.1423642822708,1520.440366527216,1477.0956132789056,1536.4871175305811,51.0,54.0,56.6,48.8,0
196,Melbourne Vixens,59,51,Giants Netball,Hisense Arena,2017.0,196,2017-03-25,1559.110669163537,1541.12220540702,1565.8658919638087,1534.3669826067483,49.4,58.2,53.4,58.2,1
197,Adelaide Thunderbirds,39,49,Queensland Firebirds,Titanium Security Arena,2017.0,197,2017-03-25,1443.616327150747,1545.637641106222,1434.931030244259,1554.32293801271,55.2,55.6,54.6,45.0,0
198,New South Wales Swifts,54,55,Collingwood Magpies,Sydney Olympic Park Sports Centre,2017.0,198,2017-03-26,1548.2608844845238,1502.651259159812,1542.7302003065681,1508.1819433377677,52.6,54.8,54.6,52.8,0
199,New South Wales Swifts,56,59,Giants Netball,Sydney Olympic Park Sports Centre,2017.0,199,2017-04-01,1542.7302003065681,1534.3669826067483,1535.868993528058,1541.2281893852585,51.0,57.0,54.666666666666664,53.0,0
200,West Coast Fever,57,40,Adelaide Thunderbirds,Perth Arena,2017.0,200,2017-04-01,1477.0956132789056,1434.931030244259,1486.8801096212826,1425.146533901882,53.666666666666664,44.0,58.166666666666664,48.833333333333336,1
201,Sunshine Coast Lightning,60,49,Queensland Firebirds,University of the Sunshine Coast Stadium,2017.0,201,2017-04-02,1536.4871175305811,1554.32293801271,1546.0246317620379,1544.7854237812533,52.5,54.5,50.666666666666664,56.0,1
202,Collingwood Magpies,56,60,Melbourne Vixens,Hisense Arena,2017.0,202,2017-04-02,1508.1819433377677,1565.8658919638087,1501.9397223473786,1572.1081129541978,53.0,58.333333333333336,52.833333333333336,54.833333333333336,0
203,Collingwood Magpies,56,43,West Coast Fever,Hisense Arena,2017.0,203,2017-04-07,1501.9397223473786,1486.8801096212826,1511.17330654922,1477.6465254194413,55.57142857142857,50.0,53.857142857142854,55.0,1
204,Queensland Firebirds,51,55,Giants Netball,Gold Coast Convention & Exhibition Centre,2017.0,204,2017-04-08,1544.7854237812533,1541.2281893852585,1537.1374030477505,1548.8762101187613,51.714285714285715,57.285714285714285,53.57142857142857,53.714285714285715,0
205,Adelaide Thunderbirds,54,75,Melbourne Vixens,Priceline Stadium,2017.0,205,2017-04-08,1425.146533901882,1572.1081129541978,1413.3286926133665,1583.9259542427135,53.42857142857143,58.57142857142857,54.142857142857146,43.42857142857143,0
206,New South Wales Swifts,50,55,Sunshine Coast Lightning,Sydney Olympic Park Sports Centre,2017.0,206,2017-04-09,1535.868993528058,1546.0246317620379,1527.7172107152019,1554.176414574894,50.42857142857143,56.57142857142857,55.285714285714285,53.42857142857143,0
207,Sunshine Coast Lightning,59,50,Adelaide Thunderbirds,Brisbane Entertainment Centre,2017.0,207,2017-04-22,1554.176414574894,1413.3286926133665,1558.2015690328144,1409.303538155446,56.75,44.75,50.375,56.375,1
208,Queensland Firebirds,55,50,West Coast Fever,Brisbane Entertainment Centre,2017.0,208,2017-04-22,1537.1374030477505,1477.6465254194413,1541.4780891834832,1473.3058392837086,55.625,49.125,53.75,53.375,1
209,Giants Netball,56,59,Collingwood Magpies,Qudos Bank Arena,2017.0,209,2017-04-23,1548.8762101187613,1511.17330654922,1541.3949961506114,1518.6545205173697,52.5,55.125,51.625,57.0,0
210,New South Wales Swifts,54,62,Melbourne Vixens,Qudos Bank Arena,2017.0,210,2017-04-23,1527.7172107152019,1583.9259542427135,1518.7088634430302,1592.9343015148852,53.5,60.625,55.25,53.0,0
211,Melbourne Vixens,70,59,Sunshine Coast Lightning,Margaret Court Arena,2017.0,211,2017-04-29,1592.9343015148852,1558.2015690328144,1600.541004076324,1550.5948664713756,50.333333333333336,56.666666666666664,53.55555555555556,60.77777777777778,1
212,Adelaide Thunderbirds,48,51,New South Wales Swifts,Titanium Security Arena,2017.0,212,2017-04-29,1409.303538155446,1518.7088634430302,1404.7580151011703,1523.2543864973059,56.0,53.111111111111114,57.0,45.333333333333336,0
213,Collingwood Magpies,61,59,Queensland Firebirds,Silverdome,2017.0,213,2017-04-30,1518.6545205173697,1541.4780891834832,1522.9259449900871,1537.2066647107658,53.333333333333336,53.55555555555556,52.888888888888886,55.55555555555556,1
214,West Coast Fever,45,48,Giants Netball,HBF Stadium,2017.0,214,2017-04-30,1473.3058392837086,1541.3949961506114,1467.9901201749421,1546.7107152593778,52.44444444444444,56.888888888888886,55.55555555555556,49.22222222222222,0
215,New South Wales Swifts,50,48,West Coast Fever,Sydney Olympic Park Sports Centre,2017.0,215,2017-05-05,1523.2543864973059,1467.9901201749421,1526.2938079748694,1464.9506986973786,54.8,48.8,55.2,52.9,1
216,Melbourne Vixens,66,55,Queensland Firebirds,Hisense Arena,2017.0,216,2017-05-06,1600.541004076324,1537.2066647107658,1607.2119669738004,1530.5357018132895,54.1,54.1,54.1,61.7,1
217,Collingwood Magpies,49,56,Sunshine Coast Lightning,Hisense Arena,2017.0,217,2017-05-06,1522.9259449900871,1550.5948664713756,1513.720844980888,1559.7999664805748,52.3,56.9,53.5,56.1,0
218,Adelaide Thunderbirds,47,49,Giants Netball,Priceline Stadium,2017.0,218,2017-05-07,1404.7580151011703,1546.7107152593778,1401.316853687439,1550.151876673109,51.7,56.0,56.4,45.6,0
219,Sunshine Coast Lightning,64,50,West Coast Fever,University of the Sunshine Coast Stadium,2017.0,219,2017-05-12,1559.7999664805748,1464.9506986973786,1566.5006509095779,1458.2500142683755,54.2,48.5,51.6,56.9,1
220,Collingwood Magpies,62,50,New South Wales Swifts,Hisense Arena,2017.0,220,2017-05-13,1513.720844980888,1526.2938079748694,1523.5828601154926,1516.4317928402647,54.2,52.6,53.3,55.5,1
221,Queensland Firebirds,59,48,Adelaide Thunderbirds,Brisbane Entertainment Centre,2017.0,221,2017-05-13,1530.5357018132895,1401.316853687439,1535.3684685071362,1396.4840869935924,56.2,44.7,55.1,54.0,1
222,Giants Netball,56,52,Melbourne Vixens,AIS Arena,2017.0,222,2017-05-14,1550.151876673109,1607.2119669738004,1556.5511008390151,1600.8127428078942,54.1,62.5,51.1,55.1,1
223,Giants Netball,53,56,Queensland Firebirds,Sydney Olympic Park Sports Centre,2017.0,223,2017-05-19,1556.5511008390151,1535.3684685071362,1549.4202418428902,1542.4993275032612,54.5,54.9,51.2,54.1,0
224,West Coast Fever,42,49,Collingwood Magpies,Perth Arena,2017.0,224,2017-05-20,1458.2500142683755,1523.5828601154926,1450.1707309866592,1531.6621433972089,53.3,56.3,54.0,48.4,0
225,Sunshine Coast Lightning,63,49,New South Wales Swifts,University of the Sunshine Coast Stadium,2017.0,225,2017-05-20,1566.5006509095779,1516.4317928402647,1574.7874336382718,1508.1450101115709,56.0,52.2,51.4,57.5,1
226,Melbourne Vixens,71,50,Adelaide Thunderbirds,Margaret Court Arena,2017.0,226,2017-05-21,1600.8127428078942,1396.4840869935924,1605.8157918637492,1391.4810379377375,56.7,45.1,53.9,62.5,1
227,New South Wales Swifts,48,67,Queensland Firebirds,Qudos Bank Arena,2017.0,227,2017-05-27,1508.1450101115709,1542.4993275032612,1491.2307322210804,1559.4136053937516,55.1,54.5,56.4,51.2,0
228,West Coast Fever,42,68,Melbourne Vixens,Perth Arena,2017.0,228,2017-05-27,1450.1707309866592,1605.8157918637492,1436.9206694293164,1619.065853421092,53.0,63.7,52.9,47.9,0
229,Giants Netball,55,56,Sunshine Coast Lightning,Qudos Bank Arena,2017.0,229,2017-05-27,1549.4202418428902,1574.7874336382718,1544.9638158173925,1579.2438596637694,52.1,58.7,51.7,53.5,0
230,Adelaide Thunderbirds,47,49,Collingwood Magpies,Titanium Security Arena,2017.0,230,2017-05-28,1391.4810379377375,1531.6621433972089,1388.0142641948078,1535.1289171401386,51.6,56.1,58.7,45.9,0
287,Melbourne Vixens,59,58,Collingwood Magpies,Hisense Arena,2018.0,231,2018-04-28,1590.549390065819,1527.596687855104,1593.0024633549124,1525.1436145660105,0.0,0.0,0.0,0.0,1
288,Adelaide Thunderbirds,56,74,West Coast Fever,Priceline Stadium,2018.0,232,2018-04-29,1417.2606981461058,1453.9405020719873,1401.0919076492164,1470.1092925688768,0.0,0.0,0.0,0.0,0
289,Giants Netball,54,51,Sunshine Coast Lightning,Qudos Bank Arena,2018.0,233,2018-04-29,1534.9728618630443,1560.682894747827,1539.9733283457829,1555.6824282650884,0.0,0.0,0.0,0.0,1
290,New South Wales Swifts,54,53,Queensland Firebirds,Qudos Bank Arena,2018.0,234,2018-04-29,1494.6730491658104,1545.8102040453136,1498.6708848912713,1541.8123683198528,0.0,0.0,0.0,0.0,1
291,Adelaide Thunderbirds,48,71,Giants Netball,Priceline Stadium,2018.0,235,2018-05-05,1401.0919076492164,1539.9733283457829,1388.0577089034396,1553.0075270915597,51.0,54.0,74.0,56.0,0
292,West Coast Fever,68,57,Collingwood Magpies,Perth Arena,2018.0,236,2018-05-05,1470.1092925688768,1525.1436145660105,1481.1650343522167,1514.0878727826705,59.0,58.0,56.0,74.0,1
293,Queensland Firebirds,55,52,Sunshine Coast Lightning,Brisbane Entertainment Centre,2018.0,237,2018-05-06,1541.8123683198528,1555.6824282650884,1546.5761142515478,1550.9186823333935,54.0,51.0,54.0,53.0,1
294,Melbourne Vixens,63,61,New South Wales Swifts,Margaret Court Arena,2018.0,238,2018-05-06,1593.0024633549124,1498.6708848912713,1595.526143798677,1496.1472044475067,53.0,54.0,58.0,59.0,1
295,Melbourne Vixens,55,59,Queensland Firebirds,Hisense Arena,2018.0,239,2018-05-12,1595.526143798677,1546.5761142515478,1586.7915343030381,1555.3107237471866,53.0,54.0,59.5,61.0,0
296,Sunshine Coast Lightning,55,56,West Coast Fever,University of Sunshine Coast Stadium,2018.0,240,2018-05-12,1550.9186823333935,1481.1650343522167,1545.0137346144245,1487.0699820711857,56.5,71.0,54.5,51.5,0
297,Collingwood Magpies,70,50,Adelaide Thunderbirds,Hisense Arena,2018.0,241,2018-05-12,1514.0878727826705,1388.0577089034396,1521.3943654902314,1380.7512161958787,72.5,52.0,63.5,57.5,1
298,New South Wales Swifts,55,54,Giants Netball,Qudos Bank Arena,2018.0,242,2018-05-13,1496.1472044475067,1553.0075270915597,1500.2338390260393,1548.9208925130272,49.5,62.5,58.0,57.5,1
299,Giants Netball,53,51,Queensland Firebirds,State Sports Centre,2018.0,243,2018-05-19,1548.9208925130272,1555.3107237471866,1552.9117285980437,1551.31988766217,53.666666666666664,55.666666666666664,51.333333333333336,59.666666666666664,1
300,Adelaide Thunderbirds,50,72,Melbourne Vixens,Priceline Stadium,2018.0,244,2018-05-20,1380.7512161958787,1586.7915343030381,1371.3586360074332,1596.1841144914836,59.333333333333336,59.0,71.66666666666667,51.333333333333336,0
301,Collingwood Magpies,50,52,Sunshine Coast Lightning,Margaret Court Arena,2018.0,245,2018-05-20,1521.3943654902314,1545.0137346144245,1516.0361925573854,1550.3719075472704,55.0,52.666666666666664,59.0,61.666666666666664,0
302,West Coast Fever,63,54,New South Wales Swifts,HBF Stadium,2018.0,246,2018-05-20,1487.0699820711857,1500.2338390260393,1495.3399153947062,1491.9639057025188,56.666666666666664,56.666666666666664,56.0,66.0,1
303,Queensland Firebirds,71,61,West Coast Fever,Brisbane Entertainment Centre,2018.0,247,2018-05-26,1551.31988766217,1495.3399153947062,1557.8261129588989,1488.8336900979773,55.5,65.25,53.5,54.5,1
304,New South Wales Swifts,64,54,Collingwood Magpies,State Sports Centre,2018.0,248,2018-05-27,1491.9639057025188,1516.0361925573854,1501.184479206707,1506.8156190531972,57.25,58.75,58.25,56.0,1
305,Sunshine Coast Lightning,60,51,Adelaide Thunderbirds,University of Sunshine Coast Stadium,2018.0,249,2018-05-27,1550.3719075472704,1371.3586360074332,1553.666334727566,1368.0642088271377,71.75,51.0,53.75,52.5,1
306,Giants Netball,58,51,Melbourne Vixens,State Sports Centre,2018.0,250,2018-05-27,1552.9117285980437,1596.1841144914836,1560.9820412679944,1588.113801821533,57.0,62.25,51.25,58.0,1
307,Sunshine Coast Lightning,64,56,Melbourne Vixens,University of Sunshine Coast Stadium,2018.0,251,2018-06-02,1553.666334727566,1588.113801821533,1562.0774652050677,1579.7026713440312,57.2,60.0,53.2,54.0,1
308,West Coast Fever,63,61,Giants Netball,Perth Arena,2018.0,252,2018-06-02,1488.8336900979773,1560.9820412679944,1494.007992030543,1555.8077393354288,51.2,58.0,58.6,64.4,1
309,New South Wales Swifts,51,49,Adelaide Thunderbirds,State Sports Centre,2018.0,253,2018-06-03,1501.184479206707,1368.0642088271377,1503.2633652815018,1365.9853227523429,69.4,51.0,57.4,57.6,1
310,Collingwood Magpies,67,62,Queensland Firebirds,Silverdome,2018.0,254,2018-06-03,1506.8156190531972,1557.8261129588989,1513.7728524338381,1550.868879578258,55.0,57.8,58.6,57.8,1
311,Melbourne Vixens,74,60,West Coast Fever,Hisense Arena,2018.0,255,2018-06-16,1579.7026713440312,1494.007992030543,1586.708111182769,1487.002552191805,59.0,64.16666666666667,58.333333333333336,59.333333333333336,1
312,Adelaide Thunderbirds,42,66,Queensland Firebirds,Priceline Stadium,2018.0,256,2018-06-17,1365.9853227523429,1550.868879578258,1354.981429708811,1561.8727726217899,57.0,58.5,66.33333333333333,50.666666666666664,0
313,Giants Netball,63,60,Collingwood Magpies,Qudos Bank Arena,2018.0,257,2018-06-17,1555.8077393354288,1513.7728524338381,1559.544466039996,1510.036125729271,59.166666666666664,59.333333333333336,53.166666666666664,58.5,1
314,New South Wales Swifts,59,56,Sunshine Coast Lightning,Qudos Bank Arena,2018.0,258,2018-06-17,1503.2633652815018,1562.0774652050677,1508.958070099228,1556.3827603873415,53.666666666666664,55.666666666666664,56.0,56.5,1
315,Sunshine Coast Lightning,53,53,Giants Netball,University of Sunshine Coast Stadium,2018.0,259,2018-06-23,1556.3827603873415,1559.544466039996,1552.5801213881537,1563.3471050391838,54.142857142857146,59.142857142857146,54.42857142857143,55.714285714285715,0
316,West Coast Fever,76,56,Adelaide Thunderbirds,Perth Arena,2018.0,260,2018-06-23,1487.002552191805,1354.981429708811,1494.0897479789471,1347.894233921669,66.28571428571429,49.42857142857143,61.142857142857146,63.57142857142857,1
317,Collingwood Magpies,57,65,Melbourne Vixens,Margaret Court Arena,2018.0,261,2018-06-24,1510.036125729271,1586.708111182769,1501.6704026556654,1595.0738342563745,58.57142857142857,61.42857142857143,59.714285714285715,59.42857142857143,0
318,Queensland Firebirds,60,57,New South Wales Swifts,Brisbane Entertainment Centre,2018.0,262,2018-06-24,1561.8727726217899,1508.958070099228,1565.427893662199,1505.4029490588189,56.0,56.857142857142854,54.857142857142854,59.57142857142857,1
319,New South Wales Swifts,58,65,Melbourne Vixens,State Sports Centre,2018.0,263,2018-06-30,1505.4029490588189,1595.0738342563745,1498.019762615515,1602.4570206996784,58.375,61.875,56.5,56.875,0
320,Collingwood Magpies,57,70,West Coast Fever,Margaret Court Arena,2018.0,264,2018-06-30,1501.6704026556654,1494.0897479789471,1486.6688264828929,1509.0913241517196,60.5,65.125,60.375,59.125,0
321,Sunshine Coast Lightning,58,57,Queensland Firebirds,University of Sunshine Coast Stadium,2018.0,265,2018-07-01,1552.5801213881537,1565.427893662199,1556.0096607633884,1561.9983542869643,55.125,59.625,54.25,55.375,1
322,Giants Netball,63,44,Adelaide Thunderbirds,AIS Arena,2018.0,266,2018-07-01,1563.3471050391838,1347.894233921669,1567.7378188796886,1343.5035200811642,67.5,50.25,54.0,58.375,1
323,Queensland Firebirds,57,58,Melbourne Vixens,Gold Coast Sports and Leisure Centre [7],2018.0,267,2018-07-07,1561.9983542869643,1602.4570206996784,1557.7622605385402,1606.6931144481025,58.333333333333336,62.22222222222222,55.44444444444444,59.333333333333336,0
324,West Coast Fever,59,58,Sunshine Coast Lightning,HBF Stadium,2018.0,268,2018-07-07,1509.0913241517196,1556.0096607633884,1513.0243156259924,1552.0766692891157,54.55555555555556,55.666666666666664,60.111111111111114,65.66666666666667,1
325,Adelaide Thunderbirds,48,58,Collingwood Magpies,Adelaide Entertainment Centre,2018.0,269,2018-07-08,1343.5035200811642,1486.6688264828929,1336.150367346505,1494.0219792175521,61.44444444444444,58.888888888888886,67.0,49.55555555555556,0
326,Giants Netball,66,56,New South Wales Swifts,International Convention Centre,2018.0,270,2018-07-08,1567.7378188796886,1498.019762615515,1573.8386850876411,1491.9188964075624,57.44444444444444,57.0,52.888888888888886,58.888888888888886,1
327,Sunshine Coast Lightning,58,56,Collingwood Magpies,University of Sunshine Coast Stadium,2018.0,271,2018-07-14,1552.0766692891157,1494.0219792175521,1555.0769796662921,1491.0216688403757,60.1,58.8,55.0,55.9,1
328,New South Wales Swifts,68,74,West Coast Fever,State Sports Centre,2018.0,272,2018-07-14,1491.9188964075624,1513.0243156259924,1483.2728821299504,1521.6703299036044,59.9,65.0,58.3,56.9,0
329,Queensland Firebirds,64,50,Giants Netball,Brisbane Entertainment Centre,2018.0,273,2018-07-15,1557.7622605385402,1573.8386850876411,1568.8220278078168,1562.7789178183646,53.2,59.6,55.7,59.1,1
330,Melbourne Vixens,73,48,Adelaide Thunderbirds,Hisense Arena,2018.0,274,2018-07-15,1606.6931144481025,1336.150367346505,1610.6035560071305,1332.239925787477,66.1,49.4,58.2,61.8,1
331,Collingwood Magpies,57,57,New South Wales Swifts,Hisense Arena,2018.0,275,2018-07-21,1491.0216688403757,1483.2728821299504,1487.0883313353183,1487.2062196350078,60.4,58.3,60.0,58.6,0
332,West Coast Fever,54,60,Queensland Firebirds,Perth Arena,2018.0,276,2018-07-21,1521.6703299036044,1568.8220278078168,1513.7507119338927,1576.7416457775284,55.3,60.2,61.1,65.0,0
333,Melbourne Vixens,58,60,Giants Netball,Hisense Arena,2018.0,277,2018-07-22,1610.6035560071305,1562.7789178183646,1603.9510454106478,1569.4314284148472,54.5,59.2,57.2,63.2,0
334,Adelaide Thunderbirds,44,75,Sunshine Coast Lightning,Priceline Stadium,2018.0,278,2018-07-22,1332.239925787477,1555.0769796662921,1321.1397225595192,1566.1771828942499,55.2,56.6,66.0,48.6,0
335,Sunshine Coast Lightning,61,51,New South Wales Swifts,University of Sunshine Coast Stadium,2018.0,279,2018-07-28,1566.1771828942499,1487.2062196350078,1572.015300432488,1481.3681020967697,59.8,57.9,54.1,58.9,1
336,Queensland Firebirds,67,46,Adelaide Thunderbirds,Brisbane Entertainment Centre,2018.0,280,2018-07-29,1576.7416457775284,1321.1397225595192,1580.5043215096414,1317.3770468274063,66.4,48.2,55.5,60.7,1
337,Collingwood Magpies,56,66,Giants Netball,Hisense Arena,2018.0,281,2018-07-29,1487.0883313353183,1569.4314284148472,1477.7259076522669,1578.7938520978987,55.5,58.1,58.9,58.6,0
338,West Coast Fever,68,55,Melbourne Vixens,Perth Arena,2018.0,282,2018-07-29,1513.7507119338927,1603.9510454106478,1527.7612286836686,1589.940528660872,57.1,62.7,61.4,63.6,1
339,Adelaide Thunderbirds,41,69,New South Wales Swifts,Priceline Stadium,2018.0,283,2018-08-03,1317.3770468274063,1481.3681020967697,1303.896145162373,1494.849003761803,60.5,57.5,66.1,47.8,0
340,Queensland Firebirds,76,44,Collingwood Magpies,Brisbane Entertainment Centre,2018.0,284,2018-08-04,1580.5043215096414,1477.7259076522669,1591.988591146331,1466.2416380155773,60.5,57.2,54.6,61.5,1
341,Giants Netball,69,66,West Coast Fever,International Convention Centre,2018.0,285,2018-08-04,1578.7938520978987,1527.7612286836686,1582.379951846561,1524.1751289350063,61.4,64.8,55.6,59.3,1
342,Melbourne Vixens,51,56,Sunshine Coast Lightning,Hisense Arena,2018.0,286,2018-08-05,1589.940528660872,1572.015300432488,1581.0508256609037,1580.9050034324562,53.6,59.5,58.0,62.7,0
343,Melbourne Vixens,73,61,Queensland Firebirds,Melbourne Arena,2019.0,287,2019-04-27,1562.0381192456778,1570.2414433597482,1571.7222342681246,1560.5573283373014,0.0,0.0,0.0,0.0,1
344,Collingwood Magpies,57,43,Sunshine Coast Lightning,Melbourne Arena,2019.0,288,2019-04-27,1475.931228511683,1561.928752574342,1490.4183254374823,1547.4416556485428,0.0,0.0,0.0,0.0,1
345,Giants Netball,56,63,New South Wales Swifts,Qudos Bank Arena,2019.0,289,2019-04-28,1563.0349638849207,1497.3867528213523,1550.8773257223208,1509.544390983952,0.0,0.0,0.0,0.0,0
346,Adelaide Thunderbirds,61,60,West Coast Fever,Priceline Stadium,2019.0,290,2019-04-28,1354.1721088717798,1519.3813467012546,1360.0873152332258,1513.4661403398086,0.0,0.0,0.0,0.0,1
347,Queensland Firebirds,57,57,Collingwood Magpies,Queensland State Netball Centre,2019.0,291,2019-05-04,1560.5573283373014,1490.4183254374823,1555.8615715245917,1495.114082250192,43.0,57.0,73.0,61.0,0
348,West Coast Fever,55,80,Sunshine Coast Lightning,RAC Arena,2019.0,292,2019-05-05,1513.4661403398086,1547.4416556485428,1492.9263485984122,1567.9814473899391,57.0,43.0,61.0,60.0,0
349,New South Wales Swifts,61,43,Adelaide Thunderbirds,QuayCentre,2019.0,293,2019-05-05,1509.544390983952,1360.0873152332258,1515.5681503764336,1354.0635558407444,60.0,61.0,56.0,63.0,1
350,Melbourne Vixens,61,45,Giants Netball,Melbourne Arena,2019.0,294,2019-05-05,1571.7222342681246,1550.8773257223208,1582.052014447422,1540.5475455430235,63.0,56.0,61.0,73.0,1
351,Adelaide Thunderbirds,42,58,Melbourne Vixens,Priceline Stadium,2019.0,295,2019-05-11,1354.0635558407444,1582.052014447422,1347.2640494102127,1588.8515208779536,53.0,67.0,60.5,52.0,0
352,Sunshine Coast Lightning,71,56,Queensland Firebirds,Brisbane Entertainment Centre,2019.0,296,2019-05-12,1567.9814473899391,1555.8615715245917,1578.2577008681583,1545.5853180463725,65.0,59.0,56.0,61.5,1
353,New South Wales Swifts,80,66,West Coast Fever,QuayCentre,2019.0,297,2019-05-12,1515.5681503764336,1492.9263485984122,1524.9440712469984,1483.5504277278474,70.5,57.5,49.5,62.0,1
354,Giants Netball,58,50,Collingwood Magpies,QuayCentre,2019.0,298,2019-05-12,1540.5475455430235,1495.114082250192,1546.522896001789,1489.1387317914266,50.0,57.0,62.0,50.5,1
355,Collingwood Magpies,65,47,Adelaide Thunderbirds,Melbourne Arena,2019.0,299,2019-05-17,1489.1387317914266,1347.2640494102127,1495.4036347201682,1340.9991464814711,59.666666666666664,48.666666666666664,52.666666666666664,54.666666666666664,1
356,New South Wales Swifts,57,59,Sunshine Coast Lightning,QuayCentre,2019.0,300,2019-05-18,1524.9440712469984,1578.2577008681583,1520.100772153,1583.1009999621567,56.0,64.66666666666667,55.0,68.0,0
357,West Coast Fever,63,63,Melbourne Vixens,RAC Arena,2019.0,301,2019-05-18,1483.5504277278474,1588.8515208779536,1480.8972437214304,1591.5047048843705,49.333333333333336,64.0,73.66666666666667,60.333333333333336,0
358,Queensland Firebirds,61,69,Giants Netball,Queensland State Netball Centre,2019.0,302,2019-05-19,1545.5853180463725,1546.522896001789,1534.7579055876204,1557.350308460541,58.0,53.0,67.0,58.0,0
359,Collingwood Magpies,61,63,West Coast Fever,Bendigo Stadium,2019.0,303,2019-05-25,1495.4036347201682,1480.8972437214304,1489.3621744434517,1486.9387039981468,71.0,61.0,51.25,57.25,0
